CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,__init__.py,ADD,0,0,,
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,dataclasses.py,ADD,17,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_4.py
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,hashing.py,ADD,12,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_5.py
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,network.py,ADD,32,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_6.py
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,node.py,ADD,24,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_7.py
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,serialization.py,ADD,15,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_8.py
3146203a2c10f2e68400f57befabd4f96834421a,synapse,23aeae5e,2018-08-18 03:35:45,+0000,settings.py,ADD,5,0,,PythonFiles\synapse\23aeae5e\3146203a2c10f2e68400f57befabd4f96834421a\3146203a2c10f2e68400f57befabd4f96834421a_synapse_23aeae5e_20180817_233545_after_9.py
ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7,synapse,23aeae5e,2018-09-03 23:07:21,+0000,hashing.py,MODIFY,1,1,PythonFiles\synapse\23aeae5e\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7_synapse_23aeae5e_20180903_190721_before_3.py,PythonFiles\synapse\23aeae5e\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7_synapse_23aeae5e_20180903_190721_after_3.py
ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7,synapse,23aeae5e,2018-09-03 23:07:21,+0000,__init__.py,ADD,0,0,,
ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7,synapse,23aeae5e,2018-09-03 23:07:21,+0000,conftest.py,ADD,29,0,,PythonFiles\synapse\23aeae5e\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7_synapse_23aeae5e_20180903_190721_after_5.py
ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7,synapse,23aeae5e,2018-09-03 23:07:21,+0000,test_hashing.py,ADD,6,0,,PythonFiles\synapse\23aeae5e\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7_synapse_23aeae5e_20180903_190721_after_6.py
ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7,synapse,23aeae5e,2018-09-03 23:07:21,+0000,test_serialization.py,ADD,24,0,,PythonFiles\synapse\23aeae5e\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7\ba30d92ea9cfa6186f3ff2a19aa885c86d9375d7_synapse_23aeae5e_20180903_190721_after_7.py
208c5a74a4afc67e0879e5fae2f3e40761538588,synapse,23aeae5e,2018-09-05 01:01:29,+0000,node.py,MODIFY,2,2,PythonFiles\synapse\23aeae5e\208c5a74a4afc67e0879e5fae2f3e40761538588\208c5a74a4afc67e0879e5fae2f3e40761538588_synapse_23aeae5e_20180904_210129_before_3.py,PythonFiles\synapse\23aeae5e\208c5a74a4afc67e0879e5fae2f3e40761538588\208c5a74a4afc67e0879e5fae2f3e40761538588_synapse_23aeae5e_20180904_210129_after_3.py
16b8542d5332fcbff3c600a74534f0cdf345ddf2,synapse,23aeae5e,2019-01-15 02:48:19,+0000,__init__.py,MODIFY,10,0,,PythonFiles\synapse\23aeae5e\16b8542d5332fcbff3c600a74534f0cdf345ddf2\16b8542d5332fcbff3c600a74534f0cdf345ddf2_synapse_23aeae5e_20190114_214819_after_5.py
16b8542d5332fcbff3c600a74534f0cdf345ddf2,synapse,23aeae5e,2019-01-15 02:48:19,+0000,dataclasses.py,DELETE,0,17,PythonFiles\synapse\23aeae5e\16b8542d5332fcbff3c600a74534f0cdf345ddf2\16b8542d5332fcbff3c600a74534f0cdf345ddf2_synapse_23aeae5e_20190114_214819_before_6.py,
16b8542d5332fcbff3c600a74534f0cdf345ddf2,synapse,23aeae5e,2019-01-15 02:48:19,+0000,exceptions.py,ADD,2,0,,PythonFiles\synapse\23aeae5e\16b8542d5332fcbff3c600a74534f0cdf345ddf2\16b8542d5332fcbff3c600a74534f0cdf345ddf2_synapse_23aeae5e_20190114_214819_after_7.py
16b8542d5332fcbff3c600a74534f0cdf345ddf2,synapse,23aeae5e,2019-01-15 02:48:19,+0000,hashing.py,DELETE,0,12,PythonFiles\synapse\23aeae5e\16b8542d5332fcbff3c600a74534f0cdf345ddf2\16b8542d5332fcbff3c600a74534f0cdf345ddf2_synapse_23aeae5e_20190114_214819_before_8.py,
