CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,cipher.py,ADD,59,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_6.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,cipher_test.py,ADD,32,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_7.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,diff.py,ADD,103,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_8.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,diff_test.py,ADD,93,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_9.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,difffull.py,ADD,51,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_10.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,identity.py,ADD,28,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_11.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,collector.py,ADD,38,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_12.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,collector_test.py,ADD,37,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_13.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,widget.py,ADD,35,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_14.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,widget_test.py,ADD,34,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_15.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,__init__.py,ADD,23,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_16.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,completion.py,ADD,229,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_17.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,completion_test.py,ADD,140,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_18.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,core.py,ADD,760,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_19.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,core_test.py,ADD,86,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_20.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,decorators.py,ADD,97,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_21.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,decorators_test.py,ADD,150,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_22.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,fire_import_test.py,ADD,35,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_23.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,fire_test.py,ADD,371,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_24.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,helputils.py,ADD,197,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_25.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,helputils_test.py,ADD,128,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_26.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,inspectutils.py,ADD,128,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_27.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,inspectutils_test.py,ADD,99,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_28.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,interact.py,ADD,90,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_29.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,interact_test.py,ADD,44,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_30.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,parser.py,ADD,127,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_31.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,parser_fuzz_test.py,ADD,97,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_32.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,parser_test.py,ADD,138,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_33.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,test_components.py,ADD,170,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_34.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,test_components_test.py,ADD,33,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_35.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,trace.py,ADD,301,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_36.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,trace_test.py,ADD,139,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_37.py
9f9630ac871138c04c8654eb46d66ca0a2f70b7c,python-fire,dfb7dee0,2017-02-15 21:22:36,+0000,setup.py,ADD,78,0,,PythonFiles\python-fire\dfb7dee0\9f9630ac871138c04c8654eb46d66ca0a2f70b7c\9f9630ac871138c04c8654eb46d66ca0a2f70b7c_python-fire_dfb7dee0_20170215_132236_after_38.py
421bbae7322ee8f5505d48a3efa7fa75d9430d63,python-fire,dfb7dee0,2017-02-23 18:12:53,+0000,setup.py,MODIFY,7,4,PythonFiles\python-fire\dfb7dee0\421bbae7322ee8f5505d48a3efa7fa75d9430d63\421bbae7322ee8f5505d48a3efa7fa75d9430d63_python-fire_dfb7dee0_20170223_181253_before_2.py,PythonFiles\python-fire\dfb7dee0\421bbae7322ee8f5505d48a3efa7fa75d9430d63\421bbae7322ee8f5505d48a3efa7fa75d9430d63_python-fire_dfb7dee0_20170223_181253_after_2.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,cipher.py,MODIFY,1,1,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_2.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_2.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,diff.py,MODIFY,1,1,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_3.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_3.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,difffull.py,MODIFY,1,1,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_4.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_4.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,collector.py,MODIFY,1,1,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_5.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_5.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,widget.py,MODIFY,1,1,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_6.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_6.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,interact.py,MODIFY,5,5,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_7.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_7.py
48dd6623bfeb8635082cdecb0f87e75d3a9c4672,python-fire,dfb7dee0,2017-03-02 20:28:21,+0000,interact_test.py,MODIFY,8,9,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_before_8.py,PythonFiles\python-fire\dfb7dee0\48dd6623bfeb8635082cdecb0f87e75d3a9c4672\48dd6623bfeb8635082cdecb0f87e75d3a9c4672_python-fire_dfb7dee0_20170302_202821_after_8.py
63aba49c50b6088aa670ad0877b6d059c21cdf00,python-fire,be09aedc,2017-03-06 15:17:58,+0000,fire_test.py,MODIFY,4,0,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_before_1.py,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_after_1.py
63aba49c50b6088aa670ad0877b6d059c21cdf00,python-fire,be09aedc,2017-03-06 15:17:58,+0000,inspectutils.py,MODIFY,9,2,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_before_2.py,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_after_2.py
63aba49c50b6088aa670ad0877b6d059c21cdf00,python-fire,be09aedc,2017-03-06 15:17:58,+0000,test_components.py,MODIFY,11,0,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_before_3.py,PythonFiles\python-fire\be09aedc\63aba49c50b6088aa670ad0877b6d059c21cdf00\63aba49c50b6088aa670ad0877b6d059c21cdf00_python-fire_be09aedc_20170306_071758_after_3.py
f8ad6b7f78ef39c2e439187b706724d47cb0b0c6,python-fire,adb00135,2017-03-06 15:20:16,+0000,core.py,MODIFY,3,7,PythonFiles\python-fire\adb00135\f8ad6b7f78ef39c2e439187b706724d47cb0b0c6\f8ad6b7f78ef39c2e439187b706724d47cb0b0c6_python-fire_adb00135_20170306_072016_before_1.py,PythonFiles\python-fire\adb00135\f8ad6b7f78ef39c2e439187b706724d47cb0b0c6\f8ad6b7f78ef39c2e439187b706724d47cb0b0c6_python-fire_adb00135_20170306_072016_after_1.py
59d9095efbba628895e7b57c8c7c5775cc4638b8,python-fire,6274fdc4,2017-03-06 15:29:49,+0000,core.py,MODIFY,3,0,PythonFiles\python-fire\6274fdc4\59d9095efbba628895e7b57c8c7c5775cc4638b8\59d9095efbba628895e7b57c8c7c5775cc4638b8_python-fire_6274fdc4_20170306_072949_before_1.py,PythonFiles\python-fire\6274fdc4\59d9095efbba628895e7b57c8c7c5775cc4638b8\59d9095efbba628895e7b57c8c7c5775cc4638b8_python-fire_6274fdc4_20170306_072949_after_1.py
8e294783b1367857083e0665a55dfdddccd033ee,python-fire,dfb7dee0,2017-03-07 18:05:12,+0000,completion_test.py,MODIFY,0,2,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_before_1.py,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_after_1.py
8e294783b1367857083e0665a55dfdddccd033ee,python-fire,dfb7dee0,2017-03-07 18:05:12,+0000,core.py,MODIFY,1,2,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_before_2.py,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_after_2.py
8e294783b1367857083e0665a55dfdddccd033ee,python-fire,dfb7dee0,2017-03-07 18:05:12,+0000,test_components.py,MODIFY,1,0,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_before_3.py,PythonFiles\python-fire\dfb7dee0\8e294783b1367857083e0665a55dfdddccd033ee\8e294783b1367857083e0665a55dfdddccd033ee_python-fire_dfb7dee0_20170307_180512_after_3.py
88f65747e25c20901483ed1d29d79392bd9b6fe3,python-fire,dfb7dee0,2017-03-09 22:03:59,+0000,core.py,MODIFY,3,3,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_before_1.py,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_after_1.py
88f65747e25c20901483ed1d29d79392bd9b6fe3,python-fire,dfb7dee0,2017-03-09 22:03:59,+0000,fire_test.py,MODIFY,8,0,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_before_2.py,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_after_2.py
88f65747e25c20901483ed1d29d79392bd9b6fe3,python-fire,dfb7dee0,2017-03-09 22:03:59,+0000,test_components.py,MODIFY,10,1,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_before_3.py,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_after_3.py
88f65747e25c20901483ed1d29d79392bd9b6fe3,python-fire,dfb7dee0,2017-03-09 22:03:59,+0000,test_components_test.py,MODIFY,6,0,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_before_4.py,PythonFiles\python-fire\dfb7dee0\88f65747e25c20901483ed1d29d79392bd9b6fe3\88f65747e25c20901483ed1d29d79392bd9b6fe3_python-fire_dfb7dee0_20170309_220359_after_4.py
1239bdd23b0112701d3817d5fdf109f80ae4c35b,python-fire,dfb7dee0,2017-03-11 21:48:12,+0000,core.py,MODIFY,6,9,PythonFiles\python-fire\dfb7dee0\1239bdd23b0112701d3817d5fdf109f80ae4c35b\1239bdd23b0112701d3817d5fdf109f80ae4c35b_python-fire_dfb7dee0_20170311_214812_before_1.py,PythonFiles\python-fire\dfb7dee0\1239bdd23b0112701d3817d5fdf109f80ae4c35b\1239bdd23b0112701d3817d5fdf109f80ae4c35b_python-fire_dfb7dee0_20170311_214812_after_1.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,completion.py,MODIFY,2,2,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_2.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_2.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,core.py,MODIFY,18,11,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_3.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_3.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,fire_test.py,MODIFY,8,0,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_4.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_4.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,helputils.py,MODIFY,21,16,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_5.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_5.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,inspectutils.py,MODIFY,42,33,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_6.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_6.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,inspectutils_test.py,MODIFY,64,49,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_7.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_7.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,test_components.py,MODIFY,9,2,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_before_8.py,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_8.py
babf4f19bb482446132fd9dde977a1b87cca36a5,python-fire,be09aedc,2017-03-20 21:41:12,+0000,test_components_py3.py,ADD,29,0,,PythonFiles\python-fire\be09aedc\babf4f19bb482446132fd9dde977a1b87cca36a5\babf4f19bb482446132fd9dde977a1b87cca36a5_python-fire_be09aedc_20170320_144112_after_9.py
c3f158a811eb39738772ae0ef97b48c27dd666b8,python-fire,7d7b823b,2017-03-22 20:51:42,+0000,helputils_test.py,MODIFY,2,1,PythonFiles\python-fire\7d7b823b\c3f158a811eb39738772ae0ef97b48c27dd666b8\c3f158a811eb39738772ae0ef97b48c27dd666b8_python-fire_7d7b823b_20170322_165142_before_1.py,PythonFiles\python-fire\7d7b823b\c3f158a811eb39738772ae0ef97b48c27dd666b8\c3f158a811eb39738772ae0ef97b48c27dd666b8_python-fire_7d7b823b_20170322_165142_after_1.py
