CommitHash,ProjectName,AuthorID,AuthorDate,AuthorTimezone,ModifiedFilename,ChangeType,AddedLines,DeletedLines,SourceCodeBeforeFilePath,SourceCodeFilePath
4651521daa3cc12ad481a8ecf6e0e7f3463f8da3,echod,56ceaa9a,2015-07-09 19:08:00,+0000,setup.py,ADD,62,0,,PythonFiles\echod\56ceaa9a\4651521daa3cc12ad481a8ecf6e0e7f3463f8da3\4651521daa3cc12ad481a8ecf6e0e7f3463f8da3_echod_56ceaa9a_20150709_160800_after_8.py
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,echo.py,ADD,26,0,,PythonFiles\echod\56ceaa9a\1becd1fa56f7c173ad9736107803b274e0a1a2b9\1becd1fa56f7c173ad9736107803b274e0a1a2b9_echod_56ceaa9a_20150710_011008_after_1.py
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,__init__.py,ADD,0,0,,
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,api.py,ADD,142,0,,PythonFiles\echod\56ceaa9a\1becd1fa56f7c173ad9736107803b274e0a1a2b9\1becd1fa56f7c173ad9736107803b274e0a1a2b9_echod_56ceaa9a_20150710_011008_after_3.py
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,callback.py,ADD,0,0,,
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,mock.py,ADD,0,0,,
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,proxy.py,ADD,0,0,,
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,setup.py,MODIFY,1,0,PythonFiles\echod\56ceaa9a\1becd1fa56f7c173ad9736107803b274e0a1a2b9\1becd1fa56f7c173ad9736107803b274e0a1a2b9_echod_56ceaa9a_20150710_011008_before_7.py,PythonFiles\echod\56ceaa9a\1becd1fa56f7c173ad9736107803b274e0a1a2b9\1becd1fa56f7c173ad9736107803b274e0a1a2b9_echod_56ceaa9a_20150710_011008_after_7.py
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,__init__.py,ADD,0,0,,
1becd1fa56f7c173ad9736107803b274e0a1a2b9,echod,56ceaa9a,2015-07-10 04:10:08,+0000,test_api.py,ADD,72,0,,PythonFiles\echod\56ceaa9a\1becd1fa56f7c173ad9736107803b274e0a1a2b9\1becd1fa56f7c173ad9736107803b274e0a1a2b9_echod_56ceaa9a_20150710_011008_after_9.py
f7a1c6c9f5556f637251cd1c448b06c7af85e0fe,echod,56ceaa9a,2015-07-27 04:59:19,+0000,echo.py,MODIFY,4,1,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_before_1.py,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_after_1.py
f7a1c6c9f5556f637251cd1c448b06c7af85e0fe,echod,56ceaa9a,2015-07-27 04:59:19,+0000,api.py,MODIFY,98,44,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_before_2.py,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_after_2.py
f7a1c6c9f5556f637251cd1c448b06c7af85e0fe,echod,56ceaa9a,2015-07-27 04:59:19,+0000,utils.py,ADD,65,0,,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_after_3.py
f7a1c6c9f5556f637251cd1c448b06c7af85e0fe,echod,56ceaa9a,2015-07-27 04:59:19,+0000,setup.py,MODIFY,1,1,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_before_4.py,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_after_4.py
f7a1c6c9f5556f637251cd1c448b06c7af85e0fe,echod,56ceaa9a,2015-07-27 04:59:19,+0000,test_api.py,MODIFY,97,21,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_before_5.py,PythonFiles\echod\56ceaa9a\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe\f7a1c6c9f5556f637251cd1c448b06c7af85e0fe_echod_56ceaa9a_20150727_015919_after_5.py
c4186e9c3f2a5a3f725cf9386ebdd629ef01612d,echod,56ceaa9a,2015-07-27 05:06:00,+0000,echod.py,RENAME,0,0,,
c4186e9c3f2a5a3f725cf9386ebdd629ef01612d,echod,56ceaa9a,2015-07-27 05:06:00,+0000,setup.py,MODIFY,4,3,PythonFiles\echod\56ceaa9a\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d_echod_56ceaa9a_20150727_020600_before_2.py,PythonFiles\echod\56ceaa9a\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d_echod_56ceaa9a_20150727_020600_after_2.py
c4186e9c3f2a5a3f725cf9386ebdd629ef01612d,echod,56ceaa9a,2015-07-27 05:06:00,+0000,conftest.py,ADD,28,0,,PythonFiles\echod\56ceaa9a\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d\c4186e9c3f2a5a3f725cf9386ebdd629ef01612d_echod_56ceaa9a_20150727_020600_after_3.py
1842e7e72250eebd9360f4153f5ad040b9efa8bf,echod,56ceaa9a,2015-07-28 23:00:00,+0000,api.py,MODIFY,7,6,PythonFiles\echod\56ceaa9a\1842e7e72250eebd9360f4153f5ad040b9efa8bf\1842e7e72250eebd9360f4153f5ad040b9efa8bf_echod_56ceaa9a_20150728_200000_before_1.py,PythonFiles\echod\56ceaa9a\1842e7e72250eebd9360f4153f5ad040b9efa8bf\1842e7e72250eebd9360f4153f5ad040b9efa8bf_echod_56ceaa9a_20150728_200000_after_1.py
